BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
25.47,-80.63,25.47,-80.47
38.15,-75.95,38.17,-75.93
37.53,-87.27,37.53,-87.27
43.87,-116.50,43.87,-116.50
32.85,-90.42,32.85,-90.42
31.73,-89.17,31.72,-89.15
32.18,-90.32,32.22,-90.28
31.40,-100.35,31.37,-100.33
31.43,-100.30,31.48,-100.25
31.68,-99.95,31.68,-99.95
29.80,-101.17,29.80,-101.17
29.53,-101.05,29.53,-101.05
29.13,-100.47,29.13,-100.47
29.60,-100.90,29.60,-100.90
29.35,-99.50,29.37,-99.47
29.27,-98.87,29.27,-98.87
29.32,-98.80,29.32,-98.80
29.32,-98.80,29.32,-98.80
29.32,-98.80,29.32,-98.80
29.32,-98.80,29.32,-98.78
29.25,-98.68,29.27,-98.70
29.23,-98.58,29.22,-98.58
30.00,-90.72,30.00,-90.72
22.12,-159.30,22.12,-159.30
35.67,-90.53,35.67,-90.53
37.48,-83.35,37.48,-83.35
32.22,-99.80,32.22,-99.80
34.25,-86.45,34.25,-86.28
31.25,-96.73,31.27,-96.73
31.92,-100.20,31.95,-100.17
31.40,-96.58,31.45,-96.47
31.90,-100.18,31.92,-100.20
31.50,-96.37,31.52,-96.33
31.57,-96.33,31.57,-96.28
32.10,-99.75,32.10,-99.75
32.10,-99.75,32.10,-99.75
32.13,-99.43,32.28,-99.33
32.22,-99.22,32.22,-99.22
31.92,-98.18,31.92,-98.17
32.15,-98.97,32.17,-98.97
31.98,-98.03,32.00,-98.02
32.17,-99.03,32.17,-99.03
32.13,-97.92,32.13,-97.92
31.62,-95.57,31.62,-95.57
31.67,-95.30,31.92,-95.02
31.82,-94.98,31.92,-94.78
29.40,-95.98,29.40,-95.98
29.50,-95.93,29.50,-95.93
29.32,-96.10,29.32,-96.10
31.72,-94.93,31.73,-94.88
31.10,-94.77,31.12,-94.77
31.12,-94.77,31.33,-94.45
29.35,-95.78,29.35,-95.78
31.32,-94.43,31.35,-94.33
31.35,-94.32,31.45,-94.12
29.62,-95.02,29.63,-95.00
29.48,-90.72,29.50,-90.62
27.47,-81.78,27.48,-814.08
30.62,-101.30,30.62,-101.30
30.58,-101.20,30.58,-101.20
33.18,-99.35,33.18,-99.35
33.18,-99.33,33.23,-99.25
33.23,-99.25,33.23,-99.25
29.52,-101.02,29.53,-101.00
29.35,-100.90,29.35,-100.90
29.32,-100.15,29.32,-100.20
29.22,-100.10,29.22,-100.10
29.12,-99.17,29.13,-99.18
29.05,-98.88,29.05,-98.88
37.77,-98.00,37.75,-97.97
37.73,-97.93,37.72,-97.98
38.07,-97.38,38.07,-97.38
36.60,-97.48,36.57,-97.45
36.60,-97.45,36.60,-97.45
36.58,-97.43,36.57,-97.42
30.90,-99.20,30.90,-99.18
32.63,-97.28,32.63,-97.28
32.75,-97.35,32.75,-97.35
32.75,-97.35,32.75,-97.35
32.75,-97.35,32.75,-97.35
32.30,-97.17,32.30,-97.17
32.30,-97.13,32.30,-97.13
32.28,-97.12,32.28,-97.12
32.28,-97.20,32.28,-97.20
32.35,-97.07,32.33,-97.02
32.37,-96.95,32.37,-96.93
32.33,-96.85,32.35,-96.80
34.37,-96.17,34.40,-96.13
32.30,-96.98,32.30,-96.98
34.45,-95.73,34.45,-95.73
41.68,-95.80,41.70,-95.75
35.52,-99.37,35.52,-99.37
41.90,-94.68,41.90,-94.68
36.10,-99.08,36.15,-99.07
36.17,-99.08,36.18,-99.07
41.88,-93.88,41.88,-93.88
36.43,-98.73,36.48,-98.67
36.48,-98.75,36.60,-98.48
36.58,-98.52,36.78,-98.42
36.70,-98.35,36.72,-98.33
45.53,-89.78,45.53,-89.78
45.53,-89.63,45.53,-89.63
45.63,-89.33,45.63,-89.33
42.27,-93.15,42.27,-93.15
45.55,-90.47,45.55,-90.47
42.48,-92.63,42.48,-92.63
38.40,-97.62,38.40,-97.62
41.67,-93.47,41.67,-93.47
41.73,-93.50,41.67,-93.53
42.30,-92.57,42.30,-92.57
44.93,-90.02,44.85,-89.75
44.85,-89.68,44.85,-89.68
42.45,-87.80,42.45,-87.80
40.88,-81.60,40.88,-81.60
40.97,-81.68,40.97,-81.68
33.15,-101.88,33.18,-101.85
39.97,-90.28,39.98,-90.25
36.92,-89.33,36.90,-89.32
38.35,-88.73,38.37,-88.72
38.35,-88.70,38.35,-88.15
37.75,-90.78,37.75,-90.78
37.00,-91.02,36.90,-90.67
36.90,-90.68,36.78,-90.33
37.42,-90.30,37.43,-90.17
37.73,-88.33,37.73,-88.33
36.83,-90.32,36.83,-90.30
36.78,-90.18,36.78,-90.18
36.95,-89.92,36.95,-89.88
37.93,-88.00,37.93,-87.98
36.23,-89.72,36.23,-89.72
40.60,-97.03,40.67,-96.98
40.70,-97.05,40.70,-97.05
39.48,-95.43,39.48,-95.43
40.77,-95.83,40.77,-95.83
40.83,-95.80,40.83,-95.80
41.00,-95.80,41.00,-95.80
38.53,-89.93,38.55,-89.90
37.02,-91.98,37.02,-91.95
38.65,-88.52,38.63,-88.45
37.22,-90.07,37.25,-90.02
37.83,-88.63,37.83,-88.50
37.37,-89.33,37.37,-89.03
37.37,-89.05,37.37,-88.98
37.37,-88.90,37.37,-88.78
37.35,-88.72,37.37,-88.47
37.37,-88.47,37.35,-88.30
36.35,-89.60,36.35,-89.60
37.37,-88.22,37.37,-88.18
37.37,-88.03,37.37,-88.02
36.37,-89.50,36.40,-89.45
37.37,-87.88,37.37,-87.85
37.40,-87.85,37.40,-87.70
37.42,-87.70,37.42,-87.47
36.37,-88.35,36.32,-88.32
37.85,-86.63,37.87,-86.60
37.85,-86.58,37.87,-86.23
37.87,-86.20,37.87,-86.12
37.42,-87.08,37.45,-86.92
37.83,-85.98,37.83,-85.95
37.32,-86.25,37.32,-86.20
35.75,-86.37,35.77,-86.32
35.72,-86.17,35.72,-86.15
40.85,-81.52,40.87,-81.40
41.25,-80.47,41.28,-801.13
41.28,-800.15,41.33,-800.02
42.55,-78.63,42.55,-78.63
41.35,-80.00,41.38,-79.88
40.85,-800.07,40.87,-79.92
39.73,-804.05,39.75,-80.70
35.53,-87.20,35.53,-87.20
40.58,-792.15,40.57,-792.10
42.33,-78.12,42.30,-78.02
40.57,-792.05,40.57,-79.38
40.57,-79.23,40.60,-79.15
40.77,-78.97,40.77,-78.93
37.33,-79.53,37.33,-79.52
37.28,-792.05,37.25,-79.32
37.33,-79.28,37.32,-79.20
38.67,-784.00,38.67,-783.07
41.08,-76.58,41.08,-76.58
40.40,-76.53,40.40,-76.53
38.55,-77.18,38.52,-76.68
38.53,-76.98,38.53,-76.98
38.48,-76.65,38.48,-76.50
36.70,-773.07,36.67,-77.55
38.47,-76.48,38.47,-76.38
38.42,-761.13,38.35,-754.13
38.33,-75.83,38.35,-754.08
34.08,-89.03,34.05,-89.00
34.07,-89.02,34.07,-88.95
31.75,-85.42,31.75,-85.40
36.12,-87.63,36.12,-87.63
34.47,-84.95,34.48,-84.92
38.88,-89.37,38.88,-89.32
