Acres,FamilyIncome,FamilyType,NumBedrooms,NumChildren,NumPeople,NumRooms,NumUnits,NumVehicles,NumWorkers,OwnRent,YearBuilt,HouseCosts,ElectricBill,FoodStamp,HeatingFuel,Insurance,Language
10-Jan,150.00,Married,4,1,3,9,Single detached,1,0,Mortgage,1950-1959,1800,90,No,Gas,2500,English
10-Jan,180.00,Female Head,3,2,4,6,Single detached,2,0,Rented,Before 1939,850,90,No,Oil,0,English
10-Jan,280.00,Female Head,4,0,2,8,Single detached,3,1,Mortgage,2000-2004,2600,260,No,Oil,6600,Other European
10-Jan,330.00,Female Head,2,1,2,4,Single detached,1,0,Rented,1950-1959,1800,140,No,Oil,0,English
10-Jan,330.00,Male Head,3,1,2,5,Single attached,1,0,Mortgage,Before 1939,860,150,No,Gas,660,Spanish
10-Jan,480.00,Male Head,0,3,4,1,Single detached,0,0,Rented,Before 1939,700,140,No,Gas,0,English
10-Jan,520.00,Male Head,3,2,3,8,Mobile home,0,0,Mortgage,1980-1989,270,130,Yes,Wood,100,English
10-Jan,550.00,Male Head,3,1,2,5,Single detached,1,1,Rented,2007,800,1,Yes,Gas,0,English
10-Jan,1400.00,Female Head,3,1,4,9,Single detached,2,1,Mortgage,Before 1939,710,150,No,Gas,1000,English
10-Jan,1400.00,Female Head,3,2,3,7,Single detached,1,1,Mortgage,1980-1989,1500,300,No,Electricity,0,English
10-Jan,1730.00,Married,5,0,2,8,Single detached,3,0,Mortgage,2000-2004,1500,170,No,Gas,600,English
10-Jan,1800.00,Female Head,3,3,6,6,Single attached,1,0,Rented,Before 1939,500,150,Yes,Electricity,0,English
10-Jan,1850.00,Female Head,3,2,4,7,Single detached,3,1,Rented,1970-1979,500,170,Yes,Electricity,0,English
10-Jan,2000.00,Married,3,0,3,6,Single detached,2,1,Mortgage,1970-1979,2200,170,No,Oil,750,English
10-Jan,2000.00,Married,5,6,8,8,Single detached,0,1,Mortgage,2000-2004,900,2,No,Wood,0,Other European
10-Jan,2600.00,Male Head,3,3,4,5,Single detached,1,0,Mortgage,1980-1989,1300,110,Yes,Gas,600,Other European
10-Jan,2730.00,Married,4,0,4,9,Single detached,4,2,Mortgage,1950-1959,530,140,No,Oil,750,Spanish
10-Jan,3430.00,Married,4,0,4,7,Single detached,1,0,Mortgage,Before 1939,580,160,No,Oil,600,Other European
10-Jan,3500.00,Married,2,0,2,4,Mobile home,3,1,Mortgage,2000-2004,500,110,No,Oil,460,English
10-Jan,3580.00,Female Head,3,2,3,4,Single detached,1,1,Mortgage,2000-2004,200,80,No,Gas,400,English
10-Jan,3600.00,Female Head,3,2,6,6,Single detached,2,0,Rented,1980-1989,500,240,Yes,Oil,0,English
10-Jan,3660.00,Female Head,2,0,2,6,Single detached,2,0,Mortgage,1940-1949,550,130,Yes,Wood,640,English
10-Jan,3700.00,Female Head,2,1,3,6,Single detached,2,1,Rented,1950-1959,600,80,No,Gas,0,English
10-Jan,4000.00,Married,2,0,2,6,Single detached,2,1,Mortgage,1970-1979,680,100,No,Oil,700,English
10-Jan,4400.00,Female Head,3,2,3,5,Single detached,0,1,Rented,Before 1939,1200,120,No,Gas,0,Spanish
10-Jan,4500.00,Female Head,3,1,2,9,Single detached,1,0,Mortgage,1980-1989,1500,200,No,Oil,600,English
10-Jan,4550.00,Female Head,2,1,2,5,Single detached,0,1,Rented,1950-1959,1400,100,No,Gas,0,Spanish
10-Jan,4970.00,Female Head,3,1,3,7,Single detached,1,1,Rented,1940-1949,400,70,Yes,Gas,0,English
10-Jan,5000.00,Female Head,4,0,2,6,Single detached,1,0,Mortgage,1980-1989,800,200,No,Gas,500,Other European
10-Jan,5000.00,Female Head,4,1,3,8,Single detached,3,1,Mortgage,1990-1999,1600,280,No,Oil,1000,English
10-Jan,5140.00,Female Head,2,1,3,3,Mobile home,1,1,Rented,1970-1979,400,80,No,Oil,0,English
10-Jan,5200.00,Female Head,2,3,4,4,Single attached,1,1,Rented,1960-1969,1000,120,Yes,Gas,0,Other
10-Jan,5500.00,Female Head,2,2,3,3,Single detached,1,0,Rented,2000-2004,500,50,Yes,Oil,0,English
10-Jan,5500.00,Married,3,3,5,5,Single detached,2,1,Rented,1970-1979,450,60,Yes,Wood,0,English
10-Jan,5610.00,Female Head,3,0,2,7,Mobile home,1,1,Mortgage,1990-1999,200,140,No,Gas,400,English
10-Jan,5700.00,Female Head,4,2,5,6,Single detached,0,0,Rented,1960-1969,830,80,Yes,Gas,0,English
10-Jan,5800.00,Married,3,0,2,6,Single detached,2,0,Mortgage,1950-1959,900,400,No,Electricity,2000,English
10-Jan,6180.00,Married,4,0,2,8,Single detached,3,1,Mortgage,2000-2004,440,160,No,Oil,880,Other European
10-Jan,6300.00,Married,3,2,4,6,Single detached,2,0,Rented,1960-1969,950,160,No,Oil,0,English
10-Jan,6750.00,Female Head,4,0,4,7,Single detached,3,0,Rented,Before 1939,500,60,Yes,Oil,0,English
10-Jan,6800.00,Female Head,3,2,5,6,Single detached,2,0,Rented,Before 1939,600,150,Yes,Oil,0,English
10-Jan,6990.00,Married,5,7,9,7,Mobile home,1,0,Rented,1970-1979,500,400,Yes,Oil,0,English
10-Jan,7000.00,Female Head,3,0,3,7,Mobile home,1,1,Rented,1980-1989,800,200,No,Oil,0,English
10-Jan,7000.00,Married,3,3,6,5,Single detached,2,1,Mortgage,1990-1999,1400,300,No,Other,1700,Spanish
10-Jan,7200.00,Female Head,5,0,3,9,Single detached,3,0,Mortgage,1990-1999,530,270,No,Oil,2600,English
10-Jan,7200.00,Married,5,0,2,11,Single detached,1,0,Rented,1940-1949,300,40,No,Oil,0,English
10-Jan,7600.00,Male Head,4,0,2,7,Single detached,2,0,Mortgage,Before 1939,470,230,No,Gas,640,English
10-Jan,8000.00,Female Head,3,2,4,8,Single detached,2,1,Mortgage,1980-1989,200,170,Yes,Wood,120,English
10-Jan,8000.00,Male Head,4,1,3,9,Single detached,4,1,Mortgage,Before 1939,890,100,No,Coal,450,English
10-Jan,8400.00,Female Head,2,1,2,4,Single detached,0,0,Rented,1940-1949,1300,170,Yes,Electricity,0,Spanish
10-Jan,8400.00,Female Head,3,1,2,5,Mobile home,1,0,Rented,1980-1989,400,100,Yes,Gas,0,English
10-Jan,8600.00,Male Head,4,1,4,7,Single detached,2,1,Rented,1940-1949,550,180,Yes,Gas,0,English
10-Jan,8700.00,Married,5,3,5,10,Mobile home,3,1,Mortgage,1990-1999,330,280,No,Gas,0,English
10-Jan,8800.00,Female Head,3,0,2,5,Single attached,0,0,Rented,1940-1949,600,90,Yes,None,0,Spanish
10-Jan,8930.00,Female Head,3,1,3,6,Single detached,1,0,Rented,1960-1969,750,320,Yes,Gas,0,English
10-Jan,9000.00,Female Head,2,1,2,5,Mobile home,1,1,Rented,1970-1979,400,90,No,Oil,0,English
10-Jan,9100.00,Male Head,3,1,4,5,Single detached,2,1,Mortgage,1950-1959,1300,200,No,Wood,500,Other European
10-Jan,9400.00,Female Head,3,2,4,7,Single detached,1,1,Rented,1960-1969,530,130,Yes,Gas,0,English
10-Jan,9500.00,Female Head,3,1,3,5,Single detached,1,1,Rented,1970-1979,800,130,Yes,Oil,0,English
10-Jan,9500.00,Female Head,4,2,4,10,Single detached,2,1,Mortgage,Before 1939,900,180,No,Oil,0,English
10-Jan,9800.00,Female Head,3,2,3,6,Single attached,0,1,Rented,1990-1999,560,110,Yes,Gas,0,English
10-Jan,9800.00,Female Head,3,2,4,5,Mobile home,2,1,Mortgage,1960-1969,400,130,Yes,Gas,0,English
10-Jan,9900.00,Married,8,8,10,9,Single detached,0,3,Mortgage,Before 1939,490,2,No,Wood,0,Other European
10-Jan,10000.00,Female Head,2,0,2,5,Single detached,0,1,Rented,1970-1979,1200,60,Yes,Electricity,0,Spanish
10-Jan,10000.00,Female Head,4,2,3,9,Single detached,1,1,Rented,Before 1939,750,100,No,Oil,0,English
10-Jan,10000.00,Male Head,2,1,2,5,Single detached,1,1,Rented,1990-1999,700,60,Yes,Oil,0,English
10-Jan,10000.00,Male Head,3,1,4,6,Single detached,2,1,Rented,1960-1969,500,130,No,Oil,0,English
10-Jan,10000.00,Male Head,3,2,4,5,Single detached,2,1,Rented,2005,850,130,No,Gas,0,English
10-Jan,10000.00,Married,2,1,3,5,Mobile home,2,1,Rented,1990-1999,350,80,Yes,Electricity,0,English
10-Jan,10000.00,Married,4,1,4,5,Single detached,2,1,Mortgage,2000-2004,730,120,No,Wood,420,English
10-Jan,10300.00,Married,3,0,2,6,Single detached,2,0,Mortgage,1990-1999,1400,130,No,Oil,1200,English
10-Jan,10400.00,Female Head,3,0,4,6,Single detached,3,0,Rented,1950-1959,580,140,Yes,Gas,0,English
10-Jan,10500.00,Female Head,3,2,3,6,Single attached,2,2,Rented,2000-2004,660,140,No,Electricity,0,Other European
10-Jan,10760.00,Married,3,0,2,6,Single detached,2,1,Rented,1950-1959,650,100,No,Gas,0,English
10-Jan,10950.00,Female Head,4,4,5,6,Single detached,6,0,Rented,1970-1979,800,330,Yes,Oil,0,English
10-Jan,11000.00,Female Head,3,0,3,6,Single detached,1,1,Mortgage,1940-1949,200,80,Yes,Wood,500,English
10-Jan,11000.00,Female Head,3,4,6,6,Mobile home,3,1,Rented,1970-1979,400,120,No,Wood,0,English
10-Jan,11000.00,Male Head,3,2,4,6,Mobile home,2,1,Mortgage,1970-1979,230,110,Yes,Oil,60,English
10-Jan,11000.00,Married,3,0,2,6,Mobile home,2,2,Mortgage,2000-2004,1000,160,No,Oil,600,English
10-Jan,11000.00,Married,4,0,2,10,Single detached,0,1,Mortgage,1990-1999,10,350,No,Gas,1800,English
10-Jan,11100.00,Female Head,2,0,2,5,Single detached,0,1,Rented,1950-1959,70,200,Yes,Gas,0,English
10-Jan,11140.00,Married,3,0,2,5,Single detached,2,1,Mortgage,1990-1999,2100,310,No,Oil,550,English
10-Jan,11200.00,Married,3,0,2,9,Single detached,2,1,Mortgage,Before 1939,600,60,No,Oil,700,English
10-Jan,11400.00,Female Head,3,2,3,5,Mobile home,1,0,Rented,1990-1999,500,150,Yes,Gas,0,English
10-Jan,11400.00,Female Head,3,2,3,8,Single detached,2,1,Mortgage,1980-1989,250,130,Yes,Coal,250,English
